City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Lompoc,US,34.6391,-120.4579,74.88,79,1,7.0,mist
139,Hobart,AU,-42.8794,147.3294,43.05,86,75,8.99,broken clouds
140,Kautokeino,NO,69.0125,23.0412,41.83,82,99,8.12,overcast clouds
141,Chumikan,RU,54.7183,135.315,71.62,59,22,18.68,few clouds
142,Paramonga,PE,-10.6667,-77.8333,62.15,84,70,10.47,broken clouds
143,Saint-Joseph,RE,-21.3667,55.6167,62.96,75,76,12.28,light rain
144,Kruisfontein,ZA,-34.0033,24.7314,53.33,58,0,6.49,clear sky
145,Jamestown,US,42.097,-79.2353,70.92,64,1,5.75,clear sky
146,Danville,US,36.586,-79.395,77.38,91,75,0.0,broken clouds
147,Kavaratti,IN,10.5669,72.642,81.18,78,89,17.72,overcast clouds
148,Trapani,IT,37.8333,12.6667,82.27,73,0,4.61,clear sky
149,Iqaluit,CA,63.7506,-68.5145,46.13,81,75,5.75,broken clouds
150,Clyde River,CA,70.4692,-68.5914,44.28,78,97,0.78,overcast clouds
151,Ahipara,NZ,-35.1667,173.1667,58.41,70,27,8.59,scattered clouds
152,Teluknaga,ID,-6.0989,106.6381,78.98,78,20,2.3,haze
153,Severo-Kurilsk,RU,50.6789,156.125,57.45,84,33,13.76,scattered clouds
154,Kahului,US,20.8947,-156.47,85.96,69,40,20.71,light rain
155,Oranjemund,NA,-28.55,16.4333,56.5,62,2,4.68,clear sky
156,Wamba,NG,8.9333,8.6,71.46,94,95,2.62,overcast clouds
157,Husavik,IS,66.0449,-17.3389,48.11,85,57,2.75,broken clouds
158,Fairbanks,US,64.8378,-147.7164,52.61,93,90,1.01,moderate rain
159,Lavrentiya,RU,65.5833,-171.0,42.33,87,100,5.82,overcast clouds
160,Noumea,NC,-22.2763,166.4572,73.38,55,11,12.06,few clouds
161,Corn Island,NI,12.1694,-83.0418,82.2,77,49,11.41,scattered clouds
162,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,93,48,7.74,scattered clouds
163,Cacule,BR,-14.5033,-42.2222,69.24,42,0,4.47,clear sky
164,Eenhana,NA,-17.4667,16.3333,62.35,25,0,3.33,clear sky
165,Loukhi,RU,66.0764,33.0381,51.03,98,100,3.31,overcast clouds
166,Poya,NC,-21.35,165.15,72.81,60,76,7.63,broken clouds
167,Boralday,KZ,43.3578,76.8594,57.06,82,75,2.24,broken clouds
168,Cortez,US,37.3489,-108.5859,76.03,48,35,9.24,scattered clouds
169,Urumqi,CN,43.801,87.6005,63.55,82,75,2.24,broken clouds
170,Tondi,IN,9.7333,79.0167,82.11,65,100,6.2,overcast clouds
171,Mackenzie,CA,55.2999,-123.1698,68.22,40,75,12.66,broken clouds
172,Tuscaloosa,US,33.2098,-87.5692,77.97,94,40,3.44,scattered clouds
173,Tiarei,PF,-17.5333,-149.3333,84.22,76,13,8.93,few clouds
174,Belen,TR,36.4891,36.2233,75.34,54,0,10.36,clear sky
175,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,10.36,light rain
