City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
642,Wanning,CN,82.65,broken clouds,18.8003,110.3967,Paradise Hotel
644,Nhulunbuy,AU,84.81,few clouds,-12.2333,136.7667,East Arnhem Real Estate
648,Panacan,PH,83.03,broken clouds,9.2463,118.4082,Mom's Place Resort
651,Vanderhoof,CA,77.29,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
657,Avera,US,81.75,overcast clouds,33.194,-82.5271,
659,Boali,CF,78.67,moderate rain,4.8005,18.1275,Auberge des Cocotiers Boali poste
665,Aleksandrov Gay,RU,75.42,overcast clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
666,Filadelfia,US,80.29,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
674,Dongying,CN,78.37,light rain,37.4564,118.4856,Wanda Realm
675,Labuhan,ID,77.63,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
676,Palu,ID,80.28,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
686,Honiara,SB,84.45,overcast clouds,-9.4333,159.95,Heritage Park Hotel
689,Luwuk,ID,79.48,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
